x	y	w	h	class	class_name	time
1162	808	145	109	3	chest	11857
1029	932	107	87	0	buba	11857
955	886	98	82	0	buba	11857
729	770	90	75	0	buba	11981
1170	809	153	114	3	chest	11981
971	883	90	85	0	buba	11981
1047	928	105	99	0	buba	11981
1171	923	110	88	0	buba	11981
750	708	94	98	0	buba	12112
1208	808	142	119	3	chest	12112
1296	923	125	126	0	buba	12112
791	706	102	68	0	buba	12229
1324	920	123	121	0	buba	12229
1020	1028	114	53	0	buba	12229
1239	813	151	110	3	chest	12229
1110	928	103	94	0	buba	12229
1370	921	109	98	0	buba	12354
1023	1038	118	41	0	buba	12354
1274	795	143	116	3	chest	12354
1258	896	97	86	0	buba	12354
1141	921	115	100	0	buba	12354
856	616	93	78	0	buba	12479
1297	882	97	91	0	buba	12479
1399	895	103	101	0	buba	12479
1305	780	138	117	3	chest	12479
1087	999	107	71	0	buba	12600
1232	1002	113	68	0	buba	12600
1443	870	119	102	0	buba	12600
1350	742	141	123	3	chest	12600
887	619	94	71	0	buba	12600
957	635	100	71	0	buba	12729
1277	953	90	111	0	buba	12729
1130	904	90	119	0	buba	12729
1041	1016	83	66	0	buba	12729
1418	684	143	119	3	chest	12729
1397	804	101	87	0	buba	12729
1505	800	118	126	0	buba	12729
1204	843	89	79	0	buba	12847
1084	943	107	99	0	buba	12847
1016	590	98	81	0	buba	12847
1338	924	88	97	0	buba	12847
1564	757	111	100	0	buba	12847
1343	763	96	95	0	buba	12847
1463	637	159	112	3	chest	12847
1118	852	114	99	0	buba	12972
1266	819	89	77	0	buba	12972
1395	874	89	87	0	buba	12972
1085	540	85	63	0	buba	12972
1618	706	111	97	0	buba	12972
1528	573	144	119	3	chest	12972
1522	677	97	91	0	buba	12972
1122	476	86	75	0	buba	13099
1317	761	90	80	0	buba	13099
1125	799	124	90	0	buba	13099
1424	811	118	98	0	buba	13099
1571	515	143	124	3	chest	13099
1171	786	101	78	0	buba	13221
1397	674	85	91	0	buba	13221
1439	771	112	81	0	buba	13221
1172	417	83	70	0	buba	13221
1710	587	110	106	0	buba	13221
1609	470	157	111	3	chest	13221
1599	569	102	89	0	buba	13221
1212	722	97	88	0	buba	13348
1486	745	91	78	0	buba	13348
1429	634	90	80	0	buba	13348
129	515	127	433	4	ladder	13348
1214	369	94	70	0	buba	13348
1658	414	149	118	3	chest	13348
1478	618	91	74	0	buba	13472
1238	640	115	88	0	buba	13472
188	449	132	414	4	ladder	13472
1531	673	101	83	0	buba	13472
1271	309	89	69	0	buba	13472
1718	349	146	116	3	chest	13472
224	390	137	419	4	ladder	13595
334	883	146	201	4	ladder	13595
1253	576	117	89	0	buba	13595
1505	552	87	77	0	buba	13595
1317	254	87	59	0	buba	13595
1537	580	115	101	0	buba	13595
1746	395	105	96	0	buba	13595
1255	560	101	88	0	buba	13717
244	350	129	397	4	ladder	13717
356	825	137	253	4	ladder	13717
1505	482	75	69	0	buba	13717
1539	532	101	82	0	buba	13717
1336	132	92	94	0	buba	13717
345	776	130	303	4	ladder	13846
1512	514	90	79	0	buba	13846
234	282	129	399	4	ladder	13846
1463	414	86	75	0	buba	13846
1237	493	104	88	0	buba	13846
1636	304	100	104	0	buba	13846
323	720	122	357	4	ladder	13967
206	230	127	423	4	ladder	13967
1191	429	103	88	0	buba	13967
1422	421	85	67	0	buba	13967
1474	462	97	79	0	buba	13967
164	197	131	403	4	ladder	14079
284	680	125	372	4	ladder	14079
1127	384	94	92	0	buba	14079
1384	366	138	118	0	buba	14079
563	1029	167	51	3	chest	14079
1070	390	95	92	0	buba	14198
115	147	137	415	4	ladder	14198
244	626	116	424	4	ladder	14198
1309	312	101	84	0	buba	14198
484	981	192	97	3	chest	14198
1341	347	103	83	0	buba	14198
1271	354	93	84	0	buba	14327
1012	344	88	88	0	buba	14327
1230	264	92	78	0	buba	14327
425	947	197	131	3	chest	14327
186	598	116	366	4	ladder	14327
65	96	131	436	4	ladder	14327
371	909	190	151	3	chest	14448
948	302	89	91	0	buba	14448
1216	309	89	91	0	buba	14448
1174	281	77	74	0	buba	14448
124	560	125	397	4	ladder	14448
1403	98	113	97	0	buba	14448
17	63	123	429	4	ladder	14448
881	268	87	86	0	buba	14575
1121	261	92	100	0	buba	14575
306	880	187	158	3	chest	14575
50	521	131	410	4	ladder	14575
1094	241	83	82	0	buba	14575
1322	39	133	115	0	buba	14575
245	852	178	159	3	chest	14696
812	296	90	86	0	buba	14696
1053	256	86	87	0	buba	14696
356	1019	80	64	0	buba	14696
1015	207	78	75	0	buba	14696
1253	36	138	109	0	buba	14696
1029	213	96	102	0	buba	14696
10	494	97	466	4	ladder	14696
967	281	93	90	0	buba	14827
740	281	86	87	0	buba	14827
938	198	78	79	0	buba	14827
1176	33	132	81	0	buba	14827
684	276	90	91	0	buba	14949
887	255	100	116	0	buba	14949
633	299	97	86	0	buba	15071
806	271	92	94	0	buba	15071
832	294	95	101	0	buba	15071
588	383	90	78	0	buba	15212
804	336	76	94	0	buba	15212
755	293	74	68	0	buba	15212
1229	88	120	96	0	buba	15212
537	406	96	85	0	buba	15332
714	327	88	79	0	buba	15332
746	417	94	85	0	buba	15332
1073	94	109	93	0	buba	15332
675	407	110	133	0	buba	15461
507	427	97	95	0	buba	15461
498	30	103	92	0	buba	15461
1121	146	130	133	0	buba	15461
498	468	99	87	0	buba	15599
450	149	92	68	0	buba	15599
644	450	119	125	0	buba	15599
1079	199	128	117	0	buba	15599
502	569	97	74	0	buba	15721
437	189	89	75	0	buba	15721
641	490	108	86	0	buba	15721
857	164	93	66	0	buba	15721
980	128	148	111	3	chest	15721
701	523	88	84	0	buba	15721
520	594	89	86	0	buba	15852
727	622	87	75	0	buba	15852
683	513	94	93	0	buba	15852
436	233	92	72	0	buba	15852
987	171	158	112	3	chest	15852
560	606	106	104	0	buba	15967
732	596	90	91	0	buba	15967
442	280	98	73	0	buba	15967
753	639	87	85	0	buba	15967
907	239	79	74	0	buba	15967
1110	326	123	119	0	buba	15967
1019	211	157	111	3	chest	15967
1004	311	110	92	0	buba	15967
779	614	93	87	0	buba	16081
465	356	99	75	0	buba	16081
630	614	100	110	0	buba	16081
1066	237	148	122	3	chest	16081
538	390	86	73	0	buba	16208
723	670	95	89	0	buba	16208
882	602	105	140	0	buba	16208
1140	263	151	112	3	chest	16208
1009	389	120	95	0	buba	16208
1237	386	105	95	0	buba	16208
803	673	91	94	0	buba	16344
600	402	95	74	0	buba	16344
959	581	82	108	0	buba	16344
1000	699	73	67	0	buba	16344
1215	266	152	124	3	chest	16344
1023	633	82	70	0	buba	16464
888	654	92	111	0	buba	16464
1071	690	76	78	0	buba	16464
655	416	98	74	0	buba	16464
1290	282	144	121	3	chest	16464
1381	414	116	97	0	buba	16464
1107	599	117	155	0	buba	16591
721	458	88	76	0	buba	16591
968	600	89	121	0	buba	16591
1359	269	156	118	3	chest	16591
1019	615	88	87	0	buba	16714
1163	554	121	148	0	buba	16714
773	440	92	85	0	buba	16714
1427	255	150	113	3	chest	16714
1078	589	91	92	0	buba	16835
1230	612	90	72	0	buba	16835
1201	508	92	93	0	buba	16835
833	424	86	80	0	buba	16835
1491	223	151	125	3	chest	16835
1124	543	98	101	0	buba	16946
893	413	90	70	0	buba	16946
1288	578	85	77	0	buba	16946
1239	509	91	68	0	buba	16946
23	290	126	441	4	ladder	16946
1169	483	107	98	0	buba	17072
83	276	136	401	4	ladder	17072
201	771	139	303	4	ladder	17072
961	383	93	69	0	buba	17072
1312	489	122	125	0	buba	17072
1705	282	123	123	0	buba	17072
255	723	135	368	4	ladder	17198
143	234	134	423	4	ladder	17198
1202	473	100	90	0	buba	17198
1350	439	130	130	0	buba	17198
1015	360	97	67	0	buba	17198
1767	256	121	116	0	buba	17198
335	712	120	369	4	ladder	17318
216	214	127	430	4	ladder	17318
1270	471	92	85	0	buba	17318
1410	478	100	76	0	buba	17318
1390	395	107	77	0	buba	17318
1732	224	100	92	0	buba	17318
397	696	119	388	4	ladder	17428
1469	480	96	83	0	buba	17428
272	214	131	417	4	ladder	17428
1319	456	101	93	0	buba	17428
1426	397	94	79	0	buba	17428
432	693	125	383	4	ladder	17550
310	209	133	426	4	ladder	17550
1329	433	107	92	0	buba	17550
1461	425	96	89	0	buba	17550
1491	466	103	86	0	buba	17550
728	1045	140	34	3	chest	17550
1157	248	118	62	0	buba	17550
1714	145	99	78	0	buba	17550
445	693	125	390	4	ladder	17677
331	201	126	443	4	ladder	17677
1318	437	112	97	0	buba	17677
1461	417	127	126	0	buba	17677
