x	y	w	h	class	class_name	time
1465	176	96	335	4	ladder	7794
1684	442	101	318	4	ladder	7927
1711	452	91	312	4	ladder	8062
1080	212	160	293	5	altar	8062
1105	289	142	218	5	altar	8190
1129	272	153	249	5	altar	8329
1158	258	146	285	5	altar	8455
1161	220	186	364	5	altar	8594
1193	308	179	261	5	altar	8726
310	134	81	59	0	buba	9129
330	151	73	57	0	buba	9253
646	116	86	60	0	buba	9253
351	166	73	57	0	buba	9398
668	130	92	61	0	buba	9398
379	180	68	58	0	buba	9532
700	143	78	66	0	buba	9532
406	192	69	59	0	buba	9657
726	158	75	61	0	buba	9657
536	121	75	73	0	buba	9657
327	287	62	80	0	buba	9794
436	204	55	57	0	buba	9794
346	302	70	70	0	buba	9914
461	211	59	54	0	buba	9914
373	309	70	67	0	buba	10031
487	221	62	53	0	buba	10031
809	187	66	59	0	buba	10031
614	140	66	77	0	buba	10031
405	313	72	68	0	buba	10159
521	222	64	57	0	buba	10159
847	195	58	48	0	buba	10159
572	116	67	36	0	buba	10159
434	312	73	66	0	buba	10280
553	223	63	61	0	buba	10280
875	202	61	44	0	buba	10280
604	119	64	34	0	buba	10280
404	117	87	49	0	buba	10280
473	316	65	67	0	buba	10398
579	225	62	60	0	buba	10398
433	115	88	58	0	buba	10398
908	193	55	52	0	buba	10398
499	319	71	70	0	buba	10520
615	226	63	62	0	buba	10520
469	119	83	60	0	buba	10520
927	169	66	85	0	buba	10520
525	325	65	70	0	buba	10646
636	235	66	59	0	buba	10646
496	122	81	64	0	buba	10646
691	117	69	54	0	buba	10646
765	155	64	81	0	buba	10646
553	333	62	71	0	buba	10764
710	116	74	60	0	buba	10764
517	128	86	70	0	buba	10764
662	244	58	58	0	buba	10764
995	185	73	59	0	buba	10764
788	169	72	82	1	kiki	10764
572	348	69	66	0	buba	10880
732	124	76	64	0	buba	10880
546	142	70	60	0	buba	10880
687	253	61	60	0	buba	10880
1021	207	73	58	0	buba	10880
699	252	71	68	0	buba	10998
1054	212	67	65	0	buba	10998
585	361	74	64	0	buba	10998
564	158	72	53	0	buba	10998
758	143	64	56	0	buba	10998
761	161	63	48	0	buba	11119
591	378	69	59	0	buba	11119
572	177	61	48	0	buba	11119
683	253	63	62	0	buba	11119
1074	219	72	69	0	buba	11119
582	374	65	69	0	buba	11248
555	174	75	59	0	buba	11248
752	163	66	54	0	buba	11248
662	267	59	71	0	buba	11248
1085	226	72	77	1	kiki	11248
535	162	76	79	0	buba	11365
559	358	71	78	0	buba	11365
732	172	73	56	0	buba	11365
1082	243	61	73	0	buba	11365
645	298	62	65	0	buba	11365
527	150	78	79	0	buba	11482
726	181	70	62	0	buba	11482
631	310	69	67	0	buba	11482
562	355	73	64	0	buba	11482
624	320	66	70	0	buba	11598
728	195	64	58	0	buba	11598
578	403	60	63	0	buba	11598
1063	163	80	102	1	kiki	11598
537	178	72	53	0	buba	11598
731	201	63	65	0	buba	11715
627	331	66	72	0	buba	11715
590	407	53	68	0	buba	11715
553	195	57	55	0	buba	11715
724	187	72	63	0	buba	11832
1090	293	58	69	0	buba	11832
599	415	76	73	0	buba	11832
558	193	68	67	0	buba	11832
644	382	56	58	0	buba	11832
711	201	66	64	0	buba	11948
560	180	76	73	0	buba	11948
600	414	101	79	1	kiki	11948
809	270	72	89	2	signpost	11948
1082	300	62	74	0	buba	11948
705	238	60	62	0	buba	12066
1053	306	61	69	0	buba	12066
609	444	70	62	0	buba	12066
796	274	67	89	2	signpost	12066
601	459	65	65	0	buba	12181
693	246	54	56	0	buba	12181
563	212	51	53	0	buba	12181
680	228	65	66	0	buba	12300
590	453	65	61	0	buba	12300
551	208	55	53	0	buba	12300
682	210	72	69	0	buba	12420
